,Experience,Qualifications,Salary Range,Country,Work Type,Company Size,Preference,Job Title,Role,Job Description,skills,Responsibilities
317,4 to 10 Years,BA,$58K-$125K,Denmark,Part-Time,109555,Both,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.
318,5 to 9 Years,M.Tech,$63K-$100K,"Micronesia, Fed. Sts.",Part-Time,16070,Female,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.
319,0 to 9 Years,BBA,$59K-$94K,Gambia,Temporary,72880,Female,Java Developer,Java Software Engineer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues."
320,3 to 10 Years,B.Tech,$58K-$115K,Mauritania,Temporary,62195,Male,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
321,5 to 8 Years,MCA,$65K-$121K,Turks and Caicos Islands,Full-Time,60470,Male,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
322,4 to 14 Years,MBA,$55K-$108K,Bangladesh,Temporary,89903,Male,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
323,2 to 11 Years,MBA,$65K-$80K,Algeria,Contract,68075,Female,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
324,0 to 12 Years,BA,$64K-$89K,Lebanon,Part-Time,70037,Female,Key Account Manager,Strategic Account Manager,"Strategic Account Managers nurture relationships with key clients. They develop account strategies, address client needs, and seek opportunities for business growth and expansion.",Account management Client relationship Sales strategy Business development Negotiation skills,"Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability."
325,4 to 9 Years,BBA,$56K-$118K,Sri Lanka,Temporary,20422,Both,Landscape Architect,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,"Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects."
326,2 to 14 Years,M.Com,$56K-$81K,"Bahamas, The",Contract,28832,Both,Landscape Architect,Residential Landscape Designer,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,"Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
327,1 to 13 Years,B.Com,$60K-$124K,Bhutan,Temporary,119944,Female,Landscape Architect,Environmental Designer,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.",Environmental design principles Sustainability concepts CAD and design software,"Focus on environmentally sustainable landscape design. Design landscapes to conserve resources, reduce pollution, and support biodiversity. Select native plants and sustainable materials."
328,5 to 11 Years,MCA,$56K-$89K,Cambodia,Temporary,77675,Both,Landscape Architect,Residential Landscape Designer,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,"Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
329,5 to 10 Years,M.Tech,$64K-$126K,Albania,Temporary,33455,Both,Landscape Architect,Residential Landscape Designer,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,"Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality."
330,0 to 12 Years,BBA,$63K-$122K,Portugal,Temporary,28920,Female,Landscape Designer,Sustainable Landscape Specialist,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification,"Focus on environmentally friendly and sustainable landscape design practices. Incorporate native plants, rainwater harvesting, and ecological principles. Educate clients on sustainable landscaping benefits."
331,4 to 8 Years,PhD,$58K-$86K,Republic Of Congo,Contract,74243,Male,Landscape Designer,Sustainable Landscape Specialist,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification,"Focus on environmentally friendly and sustainable landscape design practices. Incorporate native plants, rainwater harvesting, and ecological principles. Educate clients on sustainable landscaping benefits."
332,4 to 8 Years,MBA,$58K-$94K,Antigua and Barbuda,Temporary,49786,Female,Landscape Designer,Sustainable Landscape Specialist,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",Sustainable landscape design Native plant selection Water conservation Soil health Green building practices LEED certification,"Focus on environmentally friendly and sustainable landscape design practices. Incorporate native plants, rainwater harvesting, and ecological principles. Educate clients on sustainable landscaping benefits."
333,1 to 12 Years,M.Tech,$60K-$95K,Namibia,Intern,130396,Female,Landscape Designer,Commercial Landscape Architect,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,"Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors."
334,3 to 11 Years,BCA,$65K-$118K,Sint Maarten (Dutch part),Contract,79034,Male,Landscape Designer,Commercial Landscape Architect,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,"Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors."
335,3 to 10 Years,B.Tech,$61K-$111K,Nauru,Temporary,69821,Female,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
336,4 to 9 Years,M.Com,$59K-$86K,Dominica,Part-Time,56851,Male,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
337,0 to 8 Years,MBA,$56K-$110K,Bermuda,Full-Time,122335,Female,Legal Advisor,Legal Counsel,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.",Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance,"Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings."
338,5 to 8 Years,B.Com,$63K-$112K,Hungary,Full-Time,61241,Female,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
339,1 to 14 Years,BBA,$55K-$118K,Netherlands,Intern,105625,Female,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
340,3 to 14 Years,B.Com,$58K-$86K,Guatemala,Temporary,31784,Female,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
341,1 to 15 Years,MCA,$60K-$88K,Slovak Republic,Full-Time,32269,Female,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
342,3 to 12 Years,BBA,$56K-$98K,Puerto Rico,Intern,55351,Both,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
343,3 to 15 Years,M.Tech,$61K-$82K,Morocco,Full-Time,16218,Both,Legal Assistant,Legal Secretary,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills (e.g., MS Office)","Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records."
344,1 to 8 Years,PhD,$58K-$96K,Serbia,Contract,31021,Both,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
345,1 to 8 Years,BCA,$58K-$94K,Papua New Guinea,Contract,79367,Both,Legal Counsel,Corporate Attorney,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,"Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings."
346,2 to 9 Years,BA,$65K-$119K,"Micronesia, Fed. Sts.",Temporary,16679,Both,Legal Counsel,Employment Lawyer,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.",Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy,"Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations."
347,4 to 15 Years,M.Com,$59K-$129K,Turkey,Full-Time,64814,Female,Legal Counsel,Employment Lawyer,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.",Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy,"Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations."
348,1 to 12 Years,BBA,$63K-$114K,Ecuador,Intern,133733,Both,Legal Counsel,Employment Lawyer,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.",Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy,"Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations."
349,3 to 14 Years,BBA,$64K-$120K,UAE,Part-Time,108220,Both,Legal Counsel,Employment Lawyer,"Employment Lawyers focus on employment law matters, assisting employers and employees with issues like workplace discrimination, labor disputes, and employment contracts. They offer legal counsel and represent clients in legal proceedings.",Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy,"Advise on employment law matters, including labor relations, HR policies, and employee disputes. Conduct investigations and negotiations. Ensure legal compliance in hiring and terminations."
350,2 to 15 Years,B.Com,$59K-$126K,"Iran, Islamic Rep.",Temporary,26436,Both,Legal Secretary,Court Clerk,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills,"Manage court records, assist judges and attorneys during court proceedings, and provide information to the public. Prepare and distribute court orders and documents. Ensure courtroom operations run smoothly."
351,1 to 12 Years,MBA,$65K-$92K,Vanuatu,Full-Time,71526,Both,Legal Secretary,Legal Assistant,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.",Legal research Document drafting Communication skills Legal software proficiency Attention to detail,"Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars."
352,5 to 9 Years,M.Tech,$65K-$104K,Romania,Full-Time,29344,Both,Legal Secretary,Court Clerk,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills,"Manage court records, assist judges and attorneys during court proceedings, and provide information to the public. Prepare and distribute court orders and documents. Ensure courtroom operations run smoothly."
353,5 to 12 Years,M.Tech,$63K-$89K,Philippines,Part-Time,67667,Both,Legal Secretary,Court Clerk,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills,"Manage court records, assist judges and attorneys during court proceedings, and provide information to the public. Prepare and distribute court orders and documents. Ensure courtroom operations run smoothly."
354,5 to 8 Years,M.Com,$62K-$122K,Tunisia,Temporary,75242,Both,Legal Secretary,Court Clerk,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills,"Manage court records, assist judges and attorneys during court proceedings, and provide information to the public. Prepare and distribute court orders and documents. Ensure courtroom operations run smoothly."
355,1 to 8 Years,BCA,$63K-$108K,Belgium,Temporary,109468,Female,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,"Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible."
356,3 to 15 Years,M.Com,$55K-$94K,Vietnam,Temporary,113877,Male,Litigation Attorney,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,"Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services."
357,3 to 15 Years,M.Com,$65K-$115K,Slovak Republic,Part-Time,30639,Female,Litigation Attorney,Corporate Litigator,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.",Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,"Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests."
358,1 to 10 Years,M.Com,$64K-$118K,Switzerland,Full-Time,104695,Female,Litigation Attorney,Family Law Attorney,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",Family law Divorce proceedings Child custody Mediation Legal counseling Court representation,"Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services."
359,2 to 11 Years,B.Com,$56K-$107K,Romania,Contract,124186,Both,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,"Represent clients in civil or criminal trials, presenting cases in court. Prepare legal arguments and cross-examine witnesses. Negotiate settlements when possible."
360,1 to 11 Years,B.Tech,$58K-$95K,Vietnam,Part-Time,33286,Female,Market Analyst,Competitive Intelligence Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,Research competitors and industry trends to assess market positioning. Analyze competitors strategies and product offerings. Provide recommendations for competitive advantage.
361,1 to 14 Years,PhD,$58K-$115K,Bhutan,Part-Time,67721,Both,Market Analyst,Competitive Intelligence Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,Research competitors and industry trends to assess market positioning. Analyze competitors strategies and product offerings. Provide recommendations for competitive advantage.
362,4 to 9 Years,B.Tech,$64K-$112K,Syrian Arab Republic,Full-Time,131127,Male,Market Analyst,Competitive Intelligence Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,Research competitors and industry trends to assess market positioning. Analyze competitors strategies and product offerings. Provide recommendations for competitive advantage.
363,3 to 15 Years,BA,$60K-$111K,Eswatini,Intern,20462,Female,Market Analyst,Competitive Intelligence Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,Research competitors and industry trends to assess market positioning. Analyze competitors strategies and product offerings. Provide recommendations for competitive advantage.
364,0 to 12 Years,MBA,$58K-$116K,Luxembourg,Part-Time,88166,Male,Market Analyst,Competitive Intelligence Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,Research competitors and industry trends to assess market positioning. Analyze competitors strategies and product offerings. Provide recommendations for competitive advantage.
365,0 to 15 Years,MCA,$65K-$84K,Germany,Contract,73689,Male,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
366,0 to 9 Years,M.Tech,$59K-$108K,New Caledonia,Intern,37517,Both,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
367,5 to 15 Years,MBA,$64K-$123K,Pakistan,Contract,15357,Male,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
368,3 to 13 Years,B.Com,$56K-$85K,Isle of Man,Full-Time,25753,Female,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
369,0 to 14 Years,B.Com,$55K-$103K,Nauru,Full-Time,130825,Female,Market Research Analyst,Market Researcher,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,"Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data."
370,1 to 10 Years,B.Tech,$62K-$101K,Cyprus,Temporary,97554,Female,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
371,3 to 9 Years,BBA,$58K-$100K,Botswana,Full-Time,49644,Female,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
372,1 to 15 Years,BBA,$63K-$85K,Guinea-Bissau,Temporary,61792,Female,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
373,5 to 11 Years,MBA,$55K-$100K,Latvia,Contract,105314,Both,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
374,5 to 11 Years,MCA,$60K-$122K,Myanmar,Part-Time,82029,Female,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
375,2 to 13 Years,MBA,$61K-$98K,Denmark,Contract,100181,Male,Marketing Coordinator,Marketing Specialist,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.
376,5 to 14 Years,M.Com,$57K-$88K,Gabon,Contract,122465,Both,Marketing Coordinator,Marketing Specialist,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.
377,2 to 12 Years,BCA,$58K-$87K,Nepal,Temporary,69391,Both,Marketing Coordinator,Marketing Specialist,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.
378,4 to 10 Years,MCA,$62K-$88K,French Polynesia,Full-Time,66082,Both,Marketing Coordinator,Digital Marketing Coordinator,"Digital Marketing Coordinators manage online marketing efforts, including social media, email marketing, and SEO, to drive digital engagement and growth.",Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency,"Support digital marketing efforts, including social media management and email marketing. Create and schedule digital content. Analyze digital marketing analytics."
379,4 to 9 Years,BCA,$62K-$91K,Norway,Full-Time,107037,Both,Marketing Coordinator,Digital Marketing Coordinator,"Digital Marketing Coordinators manage online marketing efforts, including social media, email marketing, and SEO, to drive digital engagement and growth.",Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency,"Support digital marketing efforts, including social media management and email marketing. Create and schedule digital content. Analyze digital marketing analytics."
380,2 to 15 Years,M.Tech,$64K-$118K,Jordan,Contract,98887,Female,Marketing Director,Brand Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation."
381,5 to 15 Years,BA,$59K-$109K,St. Martin (French part),Part-Time,59794,Both,Marketing Director,Brand Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation."
